Name,Address,Latitude,Longitude,Username,Email
GNRC Hospital Six-Mile Branch,"GS Road Sixmile, Jaya Nagar, turning, Guwahati, Assam 781022, India",26.13112640,91.80780040,gnrc-hospital-six-mile-branch,gnrc-hospital-six-mile-branch@example.com
Dispur Polyclinic and Hospitals Pvt. Ltd.,"Hengrabari Rd, GMC Ward Number 44, Dispur, Ganeshguri, Guwahati, Assam 781006, India",26.14952620,91.78724280,dispur-polyclinic-and-hospitals-pvt-ltd,dispur-polyclinic-and-hospitals-pvt-ltd@example.com
Sun Valley Hospital,"GS Rd, Mathura Nagar, Bormotoria, Guwahati, Assam 781022, India",26.13828790,91.80106810,sun-valley-hospital,sun-valley-hospital@example.com
Dispur Hospital,"4QXP+VVF, GMC Ward Number 44, Manik Nagar, Guwahati, Assam 781006, India",26.14969040,91.78717030,dispur-hospital,dispur-hospital@example.com
Marwari Hospital,"B-3, Sati Joymati Rd, Athgaon, Guwahati, Assam 781008, India",26.17194600,91.74010460,marwari-hospital,marwari-hospital@example.com
Global Hospital of Surgery,"4QFJ+CQ2, Dargah Rd, Sijubari, Hatigaon, Guwahati, Assam 781038, India",26.12882480,91.78050840,global-hospital-of-surgery,global-hospital-of-surgery@example.com
Akanksha Hospital,"NH 37, near Hotel Radisson Blue, Gotanagar, Tetelia, Guwahati, Assam 781011, India",26.13978150,91.67369990,akanksha-hospital,akanksha-hospital@example.com
Gauhati University Hospital,"Guwahati University, 37, National Highway, Gopinath Bordoloi Nagar, Jalukbari, Guwahati, Assam 781014, India",26.15485050,91.66612250,gauhati-university-hospital,gauhati-university-hospital@example.com
Sanjevani Hospital,"Assam Trunk Rd, Maligaon, Guwahati, Assam 781011, India",26.16120190,91.70941170,sanjevani-hospital,sanjevani-hospital@example.com
Aruna Memorial Hospital,"Rajgarh Rd, SATSANG VIHAR, Bhangagarh, Guwahati, Assam 781005, India",26.16611810,91.76895780,aruna-memorial-hospital,aruna-memorial-hospital@example.com
Apollo Hospitals and Clinic (GHY),"5Q97+M5H, Kanchan Rd, South Sarania, Lachit Nagar, Guwahati, Assam 781007, India",26.16919830,91.76299480,apollo-hospitals-and-clinic-ghy,apollo-hospitals-and-clinic-ghy@example.com
Agile Hospitals Private Limited,"Tripura Rd Beltola, Jayanagar Chariali, Khanapara, Guwahati, Assam 781022, India",26.12222340,91.80596350,agile-hospitals-private-limited,agile-hospitals-private-limited@example.com
Apollo Clinic,"Kanchan Rd, opp. Bora Service, near SB Deorah college, South Sarania, Ulubari, Guwahati, Assam 781005, India",26.16921200,91.76298760,apollo-clinic,apollo-clinic@example.com
St. John's Hospital,"GMC Hostel Rd, Christian Basti, Guwahati, Assam 781005, India",26.15623640,91.77565760,st-johns-hospital,st-johns-hospital@example.com
Midland Hospital,"Bye Lane 5, Sree Nagar, Guwahati, Assam 781005, India",26.16179870,91.77986520,midland-hospital,midland-hospital@example.com
Satribari Christian Hospital,"1st, Chatribari Rd, New Market Area, Chatribari, Guwahati, Assam 781008, India",26.17696370,91.74599400,satribari-christian-hospital,satribari-christian-hospital@example.com
Cosmo Cityheart hospital,"12, 781007, Rajgarh By Lane Number 2, Chandmari, Guwahati, Assam 781003, India",26.17249060,91.77140290,cosmo-cityheart-hospital,cosmo-cityheart-hospital@example.com
Vision Hospital,"5PGQ+9W7, Assam Trunk Rd, near Guwahati, opposite Choudhury Cinema, Opp.Choudhary Cinema, Athgaon, Guwahati, Assam 781001, India",26.17591960,91.73980170,vision-hospital,vision-hospital@example.com
Rahman Hospitals Pvt. Ltd,"VIP Rd, opposite to Renault Showroom, Six Mile, Guwahati, Assam 781022, India",26.13518900,91.80940210,rahman-hospitals-pvt-ltd,rahman-hospitals-pvt-ltd@example.com
Central Hospital Maligaon NFR,"5M2V+PXR, PNGB Rd, NV Area, Maligaon, Guwahati, Assam 781011, India",26.15187070,91.69490150,central-hospital-maligaon-nfr,central-hospital-maligaon-nfr@example.com
Kumar Nursing Home - Super Speciality Hospital,"5PCM+QF5, KR Choudhury Road, Kamrup Dist, Kumarpara, Bharalumukh, Guwahati, Assam 781009, India",26.17131680,91.73457180,kumar-nursing-home-super-speciality-hospital,kumar-nursing-home-super-speciality-hospital@example.com
GNRC Good Health Hospital,"Govt Higher Secondary School, GS Rd, near Dispur, near Ayushman Medicos, Dispur, Bormotoria, Guwahati, Assam 781006, India",26.14084210,91.79670760,gnrc-good-health-hospital,gnrc-good-health-hospital@example.com
Parthona Orthopaedic & Super Specialty Hospital,"Parthona Orthopaedic and Super Speciality Hospital, Beharbari, Lalmati, Guwahati, Assam 781029, India",26.11063440,91.77180020,parthona-orthopaedic-super-specialty-hospital,parthona-orthopaedic-super-specialty-hospital@example.com
Appolo Hospital new building,"5Q6J+F9X, Shiva Mandir Path, Sundarpur, Guwahati, Assam 781006, India",26.16122500,91.78098810,appolo-hospital-new-building,appolo-hospital-new-building@example.com
North East Cancer Hospital And Research Institute,"11th Mile Amerigog, Guwahati, Jorabat, Assam 781023, India",26.10045220,91.86920720,north-east-cancer-hospital-and-research-institute,north-east-cancer-hospital-and-research-institute@example.com
Gauhati Medical College,"5Q3C+M2P Narakasur Hilltop, Bhangagarh, Guwahati, Assam 781032, India",26.15421090,91.77007140,gauhati-medical-college,gauhati-medical-college@example.com
St. John Hospital,"5Q4G+F7V, Lalmati, Guwahati, Assam 781029, India",26.15624810,91.77565690,st-john-hospital,st-john-hospital@example.com
Central Nursing Home,"Bus Stop, Beltola Basistha Road Beltola, 3, Samannay Path, Beltola Tiniali, Guwahati, Assam 781028, India",26.13014890,91.79526380,central-nursing-home,central-nursing-home@example.com
H M HOSPITAL & RESEARCH CENTRE PVT LTD,"Haridev Rd, beside Little flower School, Hatigaon, Guwahati, Assam 781038, India",26.13100510,91.78598280,h-m-hospital-research-centre-pvt-ltd,h-m-hospital-research-centre-pvt-ltd@example.com
NIGHTINGALE HOSPITAL,"GMC Hostel Road, Kachari Basti Rd, Ganeshguri, Guwahati, Assam 781005, India",26.15046530,91.78211060,nightingale-hospital,nightingale-hospital@example.com
State Cancer Institute,"Gmch top hill road, INDRAPUR, Guwahati, Assam 781034, India",26.15974830,91.76545950,state-cancer-institute,state-cancer-institute@example.com
Red Cross Hospital,"5QQF+PGX, Navagiri Rd, Purbachal Nagar, Chandmari, Guwahati, Assam 781003, India",26.18936310,91.77387320,red-cross-hospital,red-cross-hospital@example.com
Super Speciality Hospital GMCH,"5Q67+HQQ, Birubari, Guwahati, Assam 781007, India",26.16146510,91.76448380,super-speciality-hospital-gmch,super-speciality-hospital-gmch@example.com
"SARATHI HOSPITAL, NALBARI","Nalbari-Hajo-Guwahati Rd, Khat, Nalbari, Assam 781335, India",26.44099260,91.43584180,sarathi-hospital-nalbari,sarathi-hospital-nalbari@example.com
Dr. Shameem Ahmed - Best Neurosurgeon in Guwahati,"Apollo Hospitals Guwahati, Lotus Tower, GS Rd, Ganeshguri, Guwahati, Assam 781005, India",26.15401810,91.78123270,dr-shameem-ahmed-best-neurosurgeon-in-guwahati,dr-shameem-ahmed-best-neurosurgeon-in-guwahati@example.com
Yashoda Hospitals Medical Information Centre,"GS Rd, GMC Ward Number 44, Ganeshguri, Guwahati, Assam 781006, India",26.14952880,91.78594640,yashoda-hospitals-medical-information-centre,yashoda-hospitals-medical-information-centre@example.com
Mahendra Mohan Choudhury Hospital,"5PPR+664, MG Rd, Fancy Bazaar, Guwahati, Assam 781001, India",26.18550230,91.74058190,mahendra-mohan-choudhury-hospital,mahendra-mohan-choudhury-hospital@example.com
Srishti Hospitals & Research Centre,"Paltan Bazaar, Dibrugarh, Assam 786001, India",27.49306570,94.92792370,srishti-hospitals-research-centre,srishti-hospitals-research-centre@example.com
SWASTHA HOSPITAL,"SWASTHA HOSPITAL A, T. Road, Graham Bazar, Tiniali, Dibrugarh, Assam 786001, India",27.48793200,94.91943250,swastha-hospital,swastha-hospital@example.com
MAGPINS MULTI SPECIALITY HOSPITAL,"AMC Rd, opp. jyotshna cinema hall, Paltan bazar, Dibrugarh, Assam 786005, India",27.49229610,94.93043340,magpins-multi-speciality-hospital,magpins-multi-speciality-hospital@example.com
Srimanta Sankardeva Hospital (SSHRI)- Best Hospital In Dibrugarh.,"FWF6+FMH, Ttiloi Bari, Chowkidingee, Dibrugarh, Assam 786001, India",27.47297260,94.91139100,srimanta-sankardeva-hospital-sshri-best-hospital-in-dibrugarh,srimanta-sankardeva-hospital-sshri-best-hospital-in-dibrugarh@example.com
APEKSHA HOSPITAL | Top Multi-Speciality Hospital in Dibrugarh,"AMC Rd, Jalan Nagar Colony, Paltan Bazar, Dibrugarh, Assam 786005, India",27.49211570,94.93294720,apeksha-hospital-top-multi-speciality-hospital-in-dibrugarh,apeksha-hospital-top-multi-speciality-hospital-in-dibrugarh@example.com
Aditya Superspeciality Hospital,"Satsang Vihar Rd, Jyoti Nagar, Dibrugarh, Assam 786005, India",27.48666650,94.93136500,aditya-superspeciality-hospital,aditya-superspeciality-hospital@example.com
Marwari Arogya Bhawan Hospital,"Arogya Bhawan Road Jyotinagar, P.O, Jalan Nagar Colony, Dibrugarh, Assam 786005, India",27.48941260,94.93025590,marwari-arogya-bhawan-hospital,marwari-arogya-bhawan-hospital@example.com
"Dr. Damani's Nursing Home | Best Multispecialty Hospital in Dibrugarh, Assam | 24/7 Emergency","AMC Rd, near Circuit House, Dibrugarh, Assam 786001, India",27.48984380,94.92302070,dr-damanis-nursing-home-best-multispecialty-hospital-in-dibrugarh-assam-247-emergency,dr-damanis-nursing-home-best-multispecialty-hospital-in-dibrugarh-assam-247-emergency@example.com
Ayush Hospital & Diagnostic Centre,"AMC Rd, Dibrugarh, Assam 786005, India",27.49174350,94.93241240,ayush-hospital-diagnostic-centre,ayush-hospital-diagnostic-centre@example.com
M.F. Hospital & Research Centre,"FVHX+QJ3 Hospital & Research Centre, M.F, Kalibari Rd, West Banshbari, Dibrugarh, Assam 786001, India",27.47949890,94.90001150,mf-hospital-research-centre,mf-hospital-research-centre@example.com
Sanjivani Diagnostics & Hospital ( Multi Super Speciality Hospital),"AMC Rd, Bordoloi Avenue, Dibrugarh, Assam 786005, India",27.49244860,94.93117640,sanjivani-diagnostics-hospital-multi-super-speciality-hospital,sanjivani-diagnostics-hospital-multi-super-speciality-hospital@example.com
Brahmaputra Diagnostics & Hospital Ltd.,"AMC Rd, Jyoti Nagar, Dibrugarh, Assam 786001, India",27.49149790,94.92720220,brahmaputra-diagnostics-hospital-ltd,brahmaputra-diagnostics-hospital-ltd@example.com
J.J. Memorial Hospital or JJM Hospital,"Lokpriya Gopinath Bordoloi Avenue, near Circuit House, Dibrugarh, Assam 786001, India",27.48993750,94.92368750,jj-memorial-hospital-or-jjm-hospital,jj-memorial-hospital-or-jjm-hospital@example.com
G.M. Hospital Private Limited,"FWRM+J5C, Bordoloi Avenue, Jallan Nagar, Dibrugarh, Assam 786001, India",27.49156590,94.93287840,gm-hospital-private-limited,gm-hospital-private-limited@example.com
Aditya Diagnostics & Hospitals,"Assam Medical College Road, Bordoloi Avenue, Paltan Bazaar, Dibrugarh, Assam 786005, India",27.49149300,94.93146690,aditya-diagnostics-hospitals,aditya-diagnostics-hospitals@example.com
H.M.Hospital & Diagnostic Centre,"Paltan Bazar, Opposite Jyotsana Cinema Hall, P.O, Jalan Nagar, Dibrugarh, Assam 786005, India",27.49214500,94.93063190,hmhospital-diagnostic-centre,hmhospital-diagnostic-centre@example.com
UROVISION HOSPITAL,"opp. Satsang Vihar Road, Jyoti Nagar, Dibrugarh, Assam 786001, India",27.48709510,94.92881750,urovision-hospital,urovision-hospital@example.com
Medicare Hospitals,"Doctors lane, LGB avenue, near Circuit House, Dibrugarh, Assam 786001, India",27.48955330,94.92358550,medicare-hospitals,medicare-hospitals@example.com
Assam Medical College,"AMC Rd, Barbari, Dibrugarh, Assam 786002, India",27.48867710,94.94054120,assam-medical-college,assam-medical-college@example.com
Dibrugarh State Hospital (Civil Hospital),"FWQ6+2XR, Dibrugarh, Assam 786001, India",27.48760390,94.91240570,dibrugarh-state-hospital-civil-hospital,dibrugarh-state-hospital-civil-hospital@example.com
Archana Trauma & Orthopaedics Hospital & Research Centre,"Jalan Nagar, Dr, Siba Baruah Path, Jyoti Nagar, Dibrugarh, Assam 786005, India",27.49082670,94.93009710,archana-trauma-orthopaedics-hospital-research-centre,archana-trauma-orthopaedics-hospital-research-centre@example.com
GOOD HEALTH PSYCHIATRY HOSPITAL AND REHABILITATION CENTER,"BORIAGIMOTH KACHARI GOAN MAFIZUDDIN AHMED HAZARIKA ROAD 786003, Dibrugarh, Assam 786003, India",27.46637500,94.93161990,good-health-psychiatry-hospital-and-rehabilitation-center,good-health-psychiatry-hospital-and-rehabilitation-center@example.com
Apollo Clinic,"FWQ8+HX4, Assam Trunk Rd, near Eidgah, Graham Bazar, Dibrugarh, Assam 786001, India",27.48883860,94.91743920,apollo-clinic1,apollo-clinic1@example.com
MGM Hospital,"Bordoloi Avenue,Paltan Bazar,Jalan Nagar, Assam 786005, India",27.49223270,94.93143770,mgm-hospital,mgm-hospital@example.com
V.G. Hospital,"FWCG+7V9, Convoy Road, Boiragimoth, Dibrugarh, Assam 786001, India",27.47051510,94.92722310,vg-hospital,vg-hospital@example.com
Dibrugarh Cancer Centre,"FWMW+7FX, Unnamed Road, Dibrugarh, Assam 786002, India",27.48323170,94.94624220,dibrugarh-cancer-centre,dibrugarh-cancer-centre@example.com
MSK superspeciality clinic,"Assam Medical College Road, near Circuit House, Dibrugarh, Assam 786001, India",27.48966840,94.92205410,msk-superspeciality-clinic,msk-superspeciality-clinic@example.com
Dibrugarh Medicity,"Circuit House Road, AMC Rd, Dibrugarh, Assam 786001, India",27.49080160,94.92497680,dibrugarh-medicity,dibrugarh-medicity@example.com
Astha Hospital,"Assam Trunk Rd, Graham Bazar, Dibrugarh, Assam 786001, India",27.48924570,94.91617050,astha-hospital,astha-hospital@example.com
Drishti Netralaya,"Eye Care Home, Drishti Netralaya, Rly Gate, opp. Gymkhana Club, Amolapatty, Dibrugarh, Assam 786001, India",27.47792260,94.89554920,drishti-netralaya,drishti-netralaya@example.com
Aziz Diagnostic & Hospital,"Circuit House Road, opposite Polo Ground, Dibrugarh, Assam 786001, India",27.48995630,94.92292880,aziz-diagnostic-hospital,aziz-diagnostic-hospital@example.com
pooja hospital and diagnostic center,"Assam Trunk Rd, Graham Bazar, Dibrugarh, Assam 786001, India",27.48780220,94.91924570,pooja-hospital-and-diagnostic-center,pooja-hospital-and-diagnostic-center@example.com
Dr. Dipok Kumar Neog,"Brahmaputra Diagnostics Hospital Ltd, AMC Rd, Jyoti Nagar, Dibrugarh, Assam 786001, India",27.49166940,94.92723300,dr-dipok-kumar-neog,dr-dipok-kumar-neog@example.com
ARPAN CLINIC AND DIAGNOSTIC CENTRE,"Ground Floor, PRP Enclave, Jalannagar, near G.M. Hospital, Dibrugarh, Assam 786005, India",27.49048960,94.93219650,arpan-clinic-and-diagnostic-centre,arpan-clinic-and-diagnostic-centre@example.com
Dibrugarh medical medicine ward& opd,"FWQR+74R, Barbari, Dibrugarh, Assam 786002, India",27.48823660,94.94025580,dibrugarh-medical-medicine-ward-opd,dibrugarh-medical-medicine-ward-opd@example.com
Tata Hospital And Research Centre,"F5C6+MF6, Khailabari Bagan Gaon, Assam 786184, India",27.47166160,95.16114080,tata-hospital-and-research-centre,tata-hospital-and-research-centre@example.com
JJM HOSPITALS,"LGB Avenue, AMC Rd, near Circuit House, Jyoti Nagar, Dibrugarh, Assam 786001, India",27.49212510,94.92799490,jjm-hospitals,jjm-hospitals@example.com
E.S.I.S Dispensary Dibrugarh,"P.O, C.R. Building, F. Lane, West Milan Nagar, Milan Nagar, Dibrugarh, Assam 786003, India",27.46144040,94.91249070,esis-dispensary-dibrugarh,esis-dispensary-dibrugarh@example.com
DU Health Centre,"CVWX+QFC, Dibrugarh University, Assam 786004, India",27.44693400,94.89863630,du-health-centre,du-health-centre@example.com
Assam Medical College & Hospital campus,"FWPW+G39 AMCH campus, Lane-K, Dibrugarh, Assam 786002, India",27.48962730,94.94300310,assam-medical-college-hospital-campus,assam-medical-college-hospital-campus@example.com
Global Fertility Centre,"37, Assam Trunk Rd, Graham Bazar, Dibrugarh, Assam 786001, India",27.48917610,94.91754390,global-fertility-centre,global-fertility-centre@example.com
Jyotish Memorial Hospital,"FWMJ+5G8, Assam Trunk Rd, Dibrugarh, Assam 786005, India",27.48291020,94.93131980,jyotish-memorial-hospital,jyotish-memorial-hospital@example.com
MedDib Health Care,"Circuit House Road, Dibrugarh, Assam 786001, India",27.49087280,94.92509920,meddib-health-care,meddib-health-care@example.com
Care & Cure Clinic and Diagnostics & ENT Clinic,"Cole Rd, Dibrugarh, Assam 786001, India",27.47959160,94.90225530,care-cure-clinic-and-diagnostics-ent-clinic,care-cure-clinic-and-diagnostics-ent-clinic@example.com
"Apollo ENT Clinic, Dibrugarh","Graham Bazar, Dibrugarh, Assam 786001, India",27.48918420,94.91723010,apollo-ent-clinic-dibrugarh,apollo-ent-clinic-dibrugarh@example.com
Mrityunjay HealthCare,"A4, Swarna Complex, AMC Rd, opp. Namghar Road, Jyoti Nagar, Paltanbazar, Dibrugarh, Assam 786005, India",27.49230530,94.92878340,mrityunjay-healthcare,mrityunjay-healthcare@example.com
Department of Anaesthesiology,"FWQR+CJ9, Barbari, Dibrugarh, Assam 786002, India",27.48853130,94.94159420,department-of-anaesthesiology,department-of-anaesthesiology@example.com
"Super Speciality Block, AMC","Super Specialty Block, opposite Blood Bank Assam Medical College, Dibrugarh, Assam 786002, India",27.48853400,94.94247670,super-speciality-block-amc,super-speciality-block-amc@example.com
"ECHS Polyclinic, Dibrugarh","FW77+9JX, Mancotta Rd, Railway Colony, Amolapatty, Dibrugarh, Assam 786003, India",27.46347640,94.91409390,echs-polyclinic-dibrugarh,echs-polyclinic-dibrugarh@example.com
Siu-Ka-Pha Multispeciality Hospital,"Rajabari, Demow, Assam 785672, India",27.06601770,94.69703310,siu-ka-pha-multispeciality-hospital,siu-ka-pha-multispeciality-hospital@example.com
CGHS Wellness Centre Dibrugarh (Allopathic),"FVCV+892, Ttiloi Bari, Chowkidingee, Dibrugarh, Assam 786001, India",27.47075080,94.89337950,cghs-wellness-centre-dibrugarh-allopathic,cghs-wellness-centre-dibrugarh-allopathic@example.com
Lion K K Saharia Eye Hospital,"Assam Trunk Rd, Dibrugarh, Assam 786001, India",27.48448790,94.90480890,lion-k-k-saharia-eye-hospital,lion-k-k-saharia-eye-hospital@example.com
S.D Sahewalla Memorial School of Nursing,"Aditya Diagnostics and Hospital Campus Bordoloi Avenue, Assam 786005, India",27.49123110,94.93386440,sd-sahewalla-memorial-school-of-nursing,sd-sahewalla-memorial-school-of-nursing@example.com
Dibrugarh Cancer Centre,"3rd Floor, V.K Trade Centre, GS Rd, opp. DownTown Hospital, GMC Ward Number 44, Ganeshguri, Guwahati, Assam 781022, India",26.14937460,91.78595740,dibrugarh-cancer-centre1,dibrugarh-cancer-centre1@example.com
SRL Diagnostics,"FWRJ+V5C, MAGPINS TOWER, opp. JYOTSHNA CINEMA HALL, Paltan Bazaar, Dibrugarh, Assam 786005, India",27.49217840,94.93039140,srl-diagnostics,srl-diagnostics@example.com
Maheshwari Diagnostic Center,"Mancotta Rd, Ttiloi Bari, Dibrugarh, Assam 786003, India",27.47413790,94.91042480,maheshwari-diagnostic-center,maheshwari-diagnostic-center@example.com
Dr. Aritra Pradhan,"Srishti Hospital and Research Centre, Graham Bazar, Paltan Bazaar, Dibrugarh, Assam 786001, India",27.48690140,94.91415340,dr-aritra-pradhan,dr-aritra-pradhan@example.com
Arpan Clinic,"GROUND FLOOR, PRP ENCLAVE, JALANNAGAR, SIDE ROAD, near G.M. Hospital, Dibrugarh, Assam 786005, India",27.49052110,94.93231050,arpan-clinic,arpan-clinic@example.com
Aarogya Uddyan,"FWRH+2XM, Jyoti Nagar, Dibrugarh, Assam 786005, India",27.49009200,94.92993170,aarogya-uddyan,aarogya-uddyan@example.com
Srishti Diagnostics,"Srishti Hospital Research Centre, Paltan Bazaar, AMC Rd, Paltan Bazaar, Dibrugarh, Assam 786001, India",27.49306840,94.92791230,srishti-diagnostics,srishti-diagnostics@example.com
Jorhat Medical College & Hospital,"P5VW+22H, Kushal Konwar Path, Kushal Nagar, Barbheta, Jorhat, Assam 785001, India",26.74257380,94.19510870,jorhat-medical-college-hospital,jorhat-medical-college-hospital@example.com
Sanjivani Hospital,"A.T., Choladhara Rd, Jorhat, Assam 785001, India",26.75758330,94.20182670,sanjivani-hospital,sanjivani-hospital@example.com
Satyam Hospital And Research Centre,"Gar-Ali, Jorhat, Assam 785001, India",26.75880170,94.21593400,satyam-hospital-and-research-centre,satyam-hospital-and-research-centre@example.com
Jorhat Christian Medical Centre,"Barbheta, Jorhat, Assam 785001, India",26.73831250,94.20068750,jorhat-christian-medical-centre,jorhat-christian-medical-centre@example.com
Mission Hospital,"P6Q2+CFV, Barbheta, Jorhat, Assam 785001, India",26.73861510,94.20115840,mission-hospital,mission-hospital@example.com
Niramoy Hospital and Research Centre,"Jail Rd, Kushal Nagar, Barbheta, Jorhat, Assam 785001, India",26.74492650,94.20096300,niramoy-hospital-and-research-centre,niramoy-hospital-and-research-centre@example.com
5 Air Force Hospital Jorhat,"P59G+5P8, Raraiyah, Nowsolia Gaon, Jorhat, Assam 785005, India",26.71790810,94.17681900,5-air-force-hospital-jorhat,5-air-force-hospital-jorhat@example.com
A. G. Nursing Home,"Q53Q+7R3, Assam Trunk Rd, Seuj Nagar, Sonari Gaon, Tarajan, Jorhat, Bhatemora Gaon, Assam 785001, India",26.75314260,94.18959030,a-g-nursing-home,a-g-nursing-home@example.com
Arunudoy Hospital & Research Centre,"Milan Nagar, 785001, Macharhaat, Jorhat, Assam 785001, India",26.77126520,94.20599130,arunudoy-hospital-research-centre,arunudoy-hospital-research-centre@example.com
Jorhat Lions Eye Hospital,"Q626+C66, Atilagaon, Jorhat, Assam 785001, India",26.75104120,94.21051030,jorhat-lions-eye-hospital,jorhat-lions-eye-hospital@example.com
Chandraprabha Eye Hospital,"K.K Handique Path, Assam 785001, India",26.76219660,94.20796670,chandraprabha-eye-hospital,chandraprabha-eye-hospital@example.com
City Orthopaedic Hospital & Research Centre,"JB Rd, Macharhaat, Jorhat, Dulia Gaon, Assam 785001, India",26.76684470,94.20701800,city-orthopaedic-hospital-research-centre,city-orthopaedic-hospital-research-centre@example.com
Imsr Hospital,"Krishna Nagar, Bapuji Nagar, Jorhat, Sensowa Gaon, Assam 785001, India",26.74904300,94.17705470,imsr-hospital,imsr-hospital@example.com
Jorhat Cancer Centre ACCF,"Kushal Nagar, Tarajan, Jorhat, Assam 785001, India",26.74298080,94.19794760,jorhat-cancer-centre-accf,jorhat-cancer-centre-accf@example.com
Barua Surgical Centre,"P5MW+C7Q, Kamar Bandha Rd, Barbheta, Jorhat, Assam 785001, India",26.73359010,94.19572330,barua-surgical-centre,barua-surgical-centre@example.com
Jorhat Medical College OPD Complex,"P5RW+PV9, Kushal Nagar, Tarajan, Jorhat, Assam 785001, India",26.74178690,94.19723780,jorhat-medical-college-opd-complex,jorhat-medical-college-opd-complex@example.com
BARUA SURGICAL CENTRE ( A UNIT OF BRC HEALTHCARE ),"BORBHETA, Jail Rd, Jorhat, Assam 785004, India",26.72717730,94.19455660,barua-surgical-centre-a-unit-of-brc-healthcare,barua-surgical-centre-a-unit-of-brc-healthcare@example.com
KG Nursing Home,"P6X2+4RC, Kamar Bandha Rd, Kushal Nagar, Tarajan, Jorhat, Assam 785001, India",26.74782000,94.20200500,kg-nursing-home,kg-nursing-home@example.com
pain fracture Clinic And Research Centre,"Q674+PPH, Malow Ali, Jorhat, Dulia Gaon, Assam 785001, India",26.76431540,94.20686130,pain-fracture-clinic-and-research-centre,pain-fracture-clinic-and-research-centre@example.com
Dr.J.K. Saikia Homeopathic Medical College & Hospital,"Club Rd, Chandan Nagar, Jorhat, Assam 785008, India",26.73175500,94.22095410,drjk-saikia-homeopathic-medical-college-hospital,drjk-saikia-homeopathic-medical-college-hospital@example.com
Sanjivani Hospital,"Sanjivani Hospital, Assam Trunk Rd, Tarajan, Jorhat, Assam 785001, India",26.75738600,94.20137930,sanjivani-hospital1,sanjivani-hospital1@example.com
